#Mario Armando Moscoso Becerra A01712209
#Estadisticas NFL temp (2019-2023) (tomadas de NFL.com)

#Temporada, Equipo, TD, INT, pases completos (cmp), capturas(sck)

2018,49ers,26,20,331,48
2018,bears,28,14,344,33
2018,bengals,27,13,331,37
2018,bills,13,23,271,41
2018,broncos,19,15,367,34
2018,browns,29,17,353,38
2018,buccaneers,36,26,408,41
2018,cardinals,15,18,283,52
2018,chargers,32,12,348,34
2018,chiefs,50,12,385,26
2018,colts,39,15,432,18
2018,cowboys,22,8,356,56
2018,dolphins,26,13,292,52
2018,eagles,29,11,422,40
2018,falcons,36,7,428,42
2018,giants,23,12,382,47
2018,jaguars,15,13,329,53
2018,jets,18,19,299,37
2018,lions,22,12,375,41
2018,packers,25,4,392,53
2018,panthers,28,16,378,32
2018,patriots,29,11,378,21
2018,raiders,19,10,382,52
2018,rams,32,12,368,33
2018,ravens,18,9,334,32
2018,commanders,16,15,311,44
2018,saints,33,7,381,20
2018,seahawks,35,7,280,51
2018,steelers,35,17,459,24
2018,texans,26,9,345,62
2018,titans,16,12,293,47
2018,vikings,30,10,425,40


2019,49ers,28,13,331,36
2019,bears,20,12,371,45
2019,bengals,18,16,356,48
2019,bills,21,12,299,40
2019,broncos,16,10,312,41
2019,browns,22,21,318,41
2019,buccaneers,33,30,382,47
2019,cardinals,20,12,355,50
2019,chargers,24,20,394,34
2019,chiefs,30,5,378,25
2019,colts,22,10,307,32
2019,cowboys,30,11,388,23
2019,dolphins,22,18,371,58
2019,eagles,27,8,391,37
2019,falcons,29,15,459,50
2019,giants,30,17,376,43
2019,jaguars,24,8,364,42
2019,jets,19,16,323,52
2019,lions,28,15,344,43
2019,packers,26,4,356,36
2019,panthers,17,21,382,58
2019,patriots,25,9,378,28
2019,raiders,22,8,367,29
2019,rams,22,17,397,22
2019,ravens,37,8,289,28
2019,commanders,18,13,298,50
2019,saints,36,6,418,25
2019,seahawks,31,6,341,48
2019,steelers,18,19,315,32
2019,texans,27,14,355,49
2019,titans,29,8,297,56
2019,vikings,26,8,319,28


2020,49ers,25,17,371,39
2020,bears,26,16,402,36
2020,bengals,19,11,372,48
2020,bills,40,11,410,27
2020,broncos,21,23,317,32
